variable,long_name,standard_name,cell_methods,cell_measures,units,positive,dimensions,modeling_realm,frequency
tas,Near-Surface Air Temperature,air_temperature,area: time: mean,area: areacella,K,NA,longitude latitude time height2m,atmos,mon
ts,Surface Temperature,surface_temperature,area: time: mean,area: areacella,K,NA,longitude latitude time,atmos,mon
tasmin,Daily Minimum Near-Surface Air Temperature,air_temperature,area: mean time: minimum within days time: mean over days,area: areacella,K,NA,longitude latitude time height2m,atmos,mon
tasmax,Daily Maximum Near-Surface Air Temperature,air_temperature,area: mean time: maximum within days time: mean over days,area: areacella,K,NA,longitude latitude time height2m,atmos,mon
psl,Sea Level Pressure,air_pressure_at_mean_sea_level,area: time: mean,area: areacella,Pa,NA,longitude latitude time,atmos,mon
ps,Surface Air Pressure,surface_air_pressure,area: time: mean,area: areacella,Pa,NA,longitude latitude time,atmos,mon
uas,Eastward Near-Surface Wind,eastward_wind,area: time: mean,area: areacella,m s-1,NA,longitude latitude time height10m,atmos,mon
vas,Northward Near-Surface Wind,northward_wind,area: time: mean,area: areacella,m s-1,NA,longitude latitude time height10m,atmos,mon
sfcWind,Near-Surface Wind Speed,wind_speed,area: time: mean,area: areacella,m s-1,NA,longitude latitude time height10m,atmos,mon
hurs,Near-Surface Relative Humidity,relative_humidity,area: time: mean,area: areacella,%,NA,longitude latitude time height2m,atmos,mon
huss,Near-Surface Specific Humidity,specific_humidity,area: time: mean,area: areacella,1,NA,longitude latitude time height2m,atmos,mon
pr,Precipitation,precipitation_flux,area: time: mean,area: areacella,kg m-2 s-1,NA,longitude latitude time,atmos,mon
prsn,Snowfall Flux,snowfall_flux,area: time: mean,area: areacella,kg m-2 s-1,NA,longitude latitude time,atmos,mon
prc,Convective Precipitation,convective_precipitation_flux,area: time: mean,area: areacella,kg m-2 s-1,NA,longitude latitude time,atmos,mon
evspsbl,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,area: areacella,kg m-2 s-1,NA,longitude latitude time,atmos,mon
sbl,Surface Snow and Ice Sublimation Flux,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,area: time: mean,area: areacella,kg m-2 s-1,NA,longitude latitude time,landIce,mon
tauu,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,area: time: mean,area: areacella,Pa,down,longitude latitude time,atmos,mon
tauv,Surface Downward Northward Wind Stress,surface_downward_northward_stress,area: time: mean,area: areacella,Pa,down,longitude latitude time,atmos,mon
hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,area: time: mean,area: areacella,W m-2,up,longitude latitude time,atmos,mon
hfss,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,area: time: mean,area: areacella,W m-2,up,longitude latitude time,atmos,mon
rlds,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,area: areacella,W m-2,down,longitude latitude time,atmos,mon
rlus,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,area: time: mean,area: areacella,W m-2,up,longitude latitude time,atmos,mon
rsds,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,area: areacella,W m-2,down,longitude latitude time,atmos,mon
rsus,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,area: time: mean,area: areacella,W m-2,up,longitude latitude time,atmos,mon
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,area: time: mean,area: areacella,W m-2,down,longitude latitude time,atmos,mon
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,area: time: mean,area: areacella,W m-2,up,longitude latitude time,atmos,mon
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,area: areacella,W m-2,down,longitude latitude time,atmos,mon
rsdt,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,area: time: mean,area: areacella,W m-2,down,longitude latitude time,atmos,mon
rsut,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,area: time: mean,area: areacella,W m-2,up,longitude latitude time,atmos,mon
rlut,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,area: time: mean,area: areacella,W m-2,up,longitude latitude time,atmos,mon
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,area: time: mean,area: areacella,W m-2,up,longitude latitude time,atmos,mon
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,area: time: mean,area: areacella,W m-2,up,longitude latitude time,atmos,mon
prw,Water Vapor Path,atmosphere_mass_content_of_water_vapor,area: time: mean,area: areacella,kg m-2,NA,longitude latitude time,atmos,mon
clt,Total Cloud Cover Percentage,cloud_area_fraction,area: time: mean,area: areacella,%,NA,longitude latitude time,atmos,mon
clwvi,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,area: time: mean,area: areacella,kg m-2,NA,longitude latitude time,atmos,mon
clivi,Ice Water Path,atmosphere_mass_content_of_cloud_ice,area: time: mean,area: areacella,kg m-2,NA,longitude latitude time,atmos,mon
rtmt,Net Downward Radiative Flux at Top of Model,net_downward_radiative_flux_at_top_of_atmosphere_model,area: time: mean,area: areacella,W m-2,down,longitude latitude time,atmos,mon
ccb,Air Pressure at Convective Cloud Base,air_pressure_at_convective_cloud_base,area: time: mean,area: areacella,Pa,NA,longitude latitude time,atmos,mon
cct,Air Pressure at Convective Cloud Top,air_pressure_at_convective_cloud_top,area: time: mean,area: areacella,Pa,NA,longitude latitude time,atmos,mon
ci,Fraction of Time Convection Occurs in Cell,convection_time_fraction,area: time: mean,area: areacella,1,NA,longitude latitude time,atmos,mon
sci,Fraction of Time Shallow Convection Occurs,shallow_convection_time_fraction,area: time: mean,area: areacella,1,NA,longitude latitude time,atmos,mon
